Wiltshire,403958.586387645,155333.568056118
Buckinghamshire,482074.455748576,210257.046467715
City of London,532464.075463355,181219.687531574
Middlesbrough,450402.709541779,516635.485494619
Portsmouth,465013.258743739,102727.792065234
Wolverhampton,391899.842228788,299050.682270758
Devon,272352.370638545,97247.3494116254
Liverpool,339119.204722134,389128.055482532
Kirklees,415750.341754746,414562.297961696
Manchester,384654.981777731,394994.722302027
Kingston upon Thames,519297.021465555,166818.306075081
Thurrock,564793.201928459,181231.01401701
Harrow,514986.565955877,190066.711032346
Cheshire West and Chester,350940.621346687,367261.59431532
Wokingham,477692.894997975,170636.23261856
Isle of Wight,449825.559169625,86493.3613751684
Stoke-on-Trent,389059.959520478,346759.321859417
Bournemouth,410111.998148186,93592.2263324923
Wandsworth,526128.582056109,174114.189639382
Coventry,432759.066749455,279983.000532302
Stockton-on-Tees,443488.536160293,518819.794331117
Cambridgeshire,538649.006181528,273216.47241907
South Gloucestershire,367461.065796229,183209.35498043
Nottinghamshire,466549.005713251,360014.272495962
Islington,531128.976974337,184977.790405296
Kensington and Chelsea,525575.304456854,179580.07635774
Gateshead,420415.369434576,560123.46199292
Barking and Dagenham,548021.101434301,184939.695251303
Newcastle upon Tyne,421982.677858363,568176.625804245
Doncaster,460015.792559934,405676.851909422
Hounslow,513583.274766822,175657.659715539
Merton,525475.119954999,169421.454851374
Lincolnshire,518068.33545555,358636.087640968
Stockport,391577.198868601,388577.552954084
Reading,470705.910654719,173155.743821061
Hammersmith and Fulham,523609.298644956,178841.367949202
Lewisham,537666.019986322,174002.350848371
Nottingham,455412.609118912,340674.339073241
Oxfordshire,446887.583104622,207631.737174564
Rochdale,389655.219239895,413347.032538641
Suffolk,609326.638464935,262300.912309725
Bromley,542895.892162767,165656.545028728
South Tyneside,435686.061570986,563356.084405551
Herefordshire,349071.588843086,245278.243608994
Cornwall,199185.221891277,60010.518659262
Trafford,376480.256049306,391414.41532861
Wigan,361015.632071489,403215.53764121
Shropshire,350418.637362646,304381.087679635
Somerset,334132.024242259,134025.691186777
Richmond upon Thames,517386.986025356,172878.328924249
Bexley,548927.511327758,175720.922565549
Bracknell Forest,487751.644074299,168429.65525455
Calderdale,401851.22341906,424975.606118086
Brighton and Hove,531535.339260799,106544.309133516
Surrey,510332.227342343,151046.142559923
Cumbria,341167.777346877,520425.239763769
Knowsley,344674.531304204,392357.660394063
North Lincolnshire,493236.697762417,411738.952634302
Sandwell,399486.466042982,290839.024031961
Kent,591125.157614981,150634.906673462
Staffordshire,397925.099325267,328217.459439917
Hampshire,450006.046737996,129618.147722859
Haringey,531199.225932193,189643.036120299
North Yorkshire,438022.775882851,477364.073508288
Rutland,491087.852211777,307849.39019571
Poole,402557.732049559,93413.5259146654
Ealing,515887.402809765,181715.005075806
Milton Keynes,486878.370980362,243584.219486866
Bury,379408.9856549,410184.476399752
Gloucestershire,391352.606266109,214105.83872567
Barnet,524027.452532488,192316.258423534
Darlington,429039.4167024,517141.637084643
Tameside,395930.322828509,397861.267697161
Wirral,327403.140779401,386334.146768875
Salford,375536.468159647,399266.504193629
Luton,508435.38246614,222912.629238621
Bolton,369179.485759155,409217.765470042
Sefton,332793.970734875,408100.606417282
Hartlepool,448108.679089826,530697.650791006
Dudley,392713.404636121,287218.280594975
Brent,520176.90640023,185829.122203319
Newham,541443.933459318,182849.030704303
Sheffield,429990.264966803,389826.638391965
Westminster,527746.409964769,180993.898597998
Swindon,417852.141674657,185881.416031647
Barnsley,431078.497805224,404459.135939759
Havering,554005.144137554,187250.532379148
Blackpool,331923.239181275,436206.678870336
Bradford,409659.244408886,438724.227031441
Northamptonshire,477427.919967761,268311.971651562
Bath and North East Somerset,367002.975754299,161986.480904912
Medway,578722.513997988,172765.214873557
Telford and Wrekin,367088.903554907,314840.45948773
Hertfordshire,522937.085359448,216063.048566062
Halton,352242.097396938,383224.561321535
Derbyshire,425855.348890538,360557.428738051
North Somerset,344360.092416921,165875.210892547
West Sussex,505765.880364192,118403.158712913
Sutton,526975.827469017,164132.329004241
Greenwich,542856.254186949,177051.777171475
St. Helens,352050.534806554,396101.264563747
Plymouth,249415.400003849,56801.1756035835
Oldham,396741.603543138,406140.953650895
Windsor and Maidenhead,490398.667527112,177104.05035787
Southampton,442363.358681201,113232.445463144
Camden,527864.856991444,184663.308450998
Essex,578099.766782237,214721.460634619
Waltham Forest,537757.562830739,190224.258350361
Isles of Scilly,90329.3756979796,13012.5901215273
Southwark,533855.433353938,176787.238268188
Warwickshire,430120.357010793,266992.427278989
Slough,498212.461648701,179777.431824293
Kingston upon Hull,509840.04857581,430568.52602313
Lambeth,530839.647720382,174437.428452784
Torbay,291435.921785558,61204.1001732142
Peterborough,518387.825955779,302630.044842539
Lancashire,358539.172289626,439495.74280814
Redcar and Cleveland,463381.158720538,518035.493602588
Blackburn with Darwen,369223.740660368,421898.445633548
Warrington,362621.329641513,389257.182441202
County Durham,410417.268431148,533392.242565223
Birmingham,408598.115286608,287856.75930865
